session	policy	kind	cap_min	min_hold	target	arm	additional	drawdown	split	n	triggered	armed	mean_net_model_pct	median_net_model_pct	p10_net_model_pct	negative_count	actual_profit_mean_pct	date_first	date_last
PREMARKET	threshold:min_hold=5,target=1	threshold	20	5	1.0				holdout	16	10	0	1.519	1.5616	-1.0427	5	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=5,target=1	threshold	20	5	1.0				all	26	15	0	1.2232	1.1766	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=5,target=1.5	threshold	20	5	1.5				train	10	4	0	0.742	0.1842	-1.8025	5	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=5,target=1.5	threshold	20	5	1.5				holdout	16	9	0	1.6454	1.8138	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=5,target=1.5	threshold	20	5	1.5				all	26	13	0	1.298	1.3121	-1.6978	11	1.0881	2026-07-02	2026-09-23
PREMARKET	threshold:min_hold=5,target=2	threshold	20	5	2.0				train	10	3	0	0.5623	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	threshold:min_hold=5,target=2	threshold	20	5	2.0				holdout	16	8	0	1.5485	1.2177	-1.0427	7	0.6669	2026-07-28	2026-09-23
PREMARKET	threshold:min_hold=5,target=2	threshold	20	5	2.0				all	26	11	0	1.1692	-0.0996	-1.6978	13	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=0.5,additional=0.3	two_stage_rise	20			0.5	0.3		train	10	6	9	1.4048	1.6566	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=0.5,additional=0.3	two_stage_rise	20			0.5	0.3		holdout	16	10	14	1.5379	1.3832	-1.0427	5	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=0.5,additional=0.3	two_stage_rise	20			0.5	0.3		all	26	16	23	1.4867	1.5377	-1.6978	9	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=0.5,additional=0.5	two_stage_rise	20			0.5	0.5		train	10	6	9	1.4048	1.6566	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=0.5,additional=0.5	two_stage_rise	20			0.5	0.5		holdout	16	9	14	1.4788	1.6735	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=0.5,additional=0.5	two_stage_rise	20			0.5	0.5		all	26	15	23	1.4503	1.6735	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=0.5,additional=1	two_stage_rise	20			0.5	1.0		train	10	3	9	0.7455	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=0.5,additional=1	two_stage_rise	20			0.5	1.0		holdout	16	9	14	1.6384	2.0635	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=0.5,additional=1	two_stage_rise	20			0.5	1.0		all	26	12	23	1.295	0.4473	-1.6978	12	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.3	trailing_drawdown	20			0.5		0.3	train	10	9	9	1.661	0.6943	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.3	trailing_drawdown	20			0.5		0.3	holdout	16	14	14	1.0755	0.5758	-0.3757	4	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.3	trailing_drawdown	20			0.5		0.3	all	26	23	23	1.3007	0.6275	-0.5084	6	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.4	trailing_drawdown	20			0.5		0.4	train	10	9	9	1.661	0.6943	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.4	trailing_drawdown	20			0.5		0.4	holdout	16	14	14	1.0516	0.404	-0.3757	4	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.4	trailing_drawdown	20			0.5		0.4	all	26	23	23	1.286	0.6275	-0.5084	6	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.5	trailing_drawdown	20			0.5		0.5	train	10	9	9	1.6669	0.6943	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.5	trailing_drawdown	20			0.5		0.5	holdout	16	14	14	1.0832	0.404	-0.4546	5	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.5	trailing_drawdown	20			0.5		0.5	all	26	23	23	1.3077	0.6275	-0.5084	7	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.8	trailing_drawdown	20			0.5		0.8	train	10	9	9	1.5682	0.6159	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.8	trailing_drawdown	20			0.5		0.8	holdout	16	14	14	1.53	1.1424	-0.7161	7	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=0.8	trailing_drawdown	20			0.5		0.8	all	26	23	23	1.5447	0.7691	-0.7161	9	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=1	trailing_drawdown	20			0.5		1.0	train	10	9	9	1.4014	0.32	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.5,drawdown=1	trailing_drawdown	20			0.5		1.0	holdout	16	13	14	1.4586	0.833	-0.7545	6	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.5,drawdown=1	trailing_drawdown	20			0.5		1.0	all	26	22	23	1.4366	0.6159	-0.7545	8	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=0.6,additional=0.3	two_stage_rise	20			0.6	0.3		train	10	5	9	1.3422	1.3441	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=0.6,additional=0.3	two_stage_rise	20			0.6	0.3		holdout	16	10	13	1.5379	1.3832	-1.0427	5	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=0.6,additional=0.3	two_stage_rise	20			0.6	0.3		all	26	15	22	1.4626	1.3832	-1.6978	9	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=0.6,additional=0.5	two_stage_rise	20			0.6	0.5		train	10	5	9	1.3422	1.3441	-1.8025	4	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=0.6,additional=0.5	two_stage_rise	20			0.6	0.5		holdout	16	9	13	1.4788	1.6735	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=0.6,additional=0.5	two_stage_rise	20			0.6	0.5		all	26	14	22	1.4263	1.6735	-1.6978	10	1.0881	2026-07-02	2026-09-23
PREMARKET	two_stage_rise:arm=0.6,additional=1	two_stage_rise	20			0.6	1.0		train	10	3	9	0.7455	-0.4073	-1.8025	6	1.762	2026-07-02	2026-07-22
PREMARKET	two_stage_rise:arm=0.6,additional=1	two_stage_rise	20			0.6	1.0		holdout	16	9	13	1.6384	2.0635	-1.0427	6	0.6669	2026-07-28	2026-09-23
PREMARKET	two_stage_rise:arm=0.6,additional=1	two_stage_rise	20			0.6	1.0		all	26	12	22	1.295	0.4473	-1.6978	12	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.3	trailing_drawdown	20			0.6		0.3	train	10	9	9	1.661	0.6943	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.3	trailing_drawdown	20			0.6		0.3	holdout	16	13	13	0.9936	0.5758	-0.978	4	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.3	trailing_drawdown	20			0.6		0.3	all	26	22	22	1.2503	0.6275	-0.7742	6	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.4	trailing_drawdown	20			0.6		0.4	train	10	9	9	1.661	0.6943	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.4	trailing_drawdown	20			0.6		0.4	holdout	16	13	13	0.9698	0.404	-0.978	4	0.6669	2026-07-28	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.4	trailing_drawdown	20			0.6		0.4	all	26	22	22	1.2356	0.6275	-0.7742	6	1.0881	2026-07-02	2026-09-23
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.5	trailing_drawdown	20			0.6		0.5	train	10	9	9	1.6669	0.6943	-0.5485	2	1.762	2026-07-02	2026-07-22
PREMARKET	trailing_drawdown:arm=0.6,drawdown=0.5	trailing_drawdown	20			0.6		0.5	holdout	16	13	13	1.0014	0.404	-0.978	5	0.6669	2026-07-28	2026-09-23
