action_block_r	action_enter_r	action_recheck_r	association_status	end_return_10m_n	end_return_10m_r	end_return_1m_n	end_return_1m_r	end_return_20m_n	end_return_20m_r	end_return_30m_n	end_return_30m_r	end_return_3m_n	end_return_3m_r	end_return_5m_n	end_return_5m_r	end_return_60m_n	end_return_60m_r	entry_target_n	entry_target_proxy_r	family	field	field_role	missing_pct	n_present	nonentry_avoidance_n	nonentry_avoidance_proxy_r	outcome_n	outcome_target_first_r	type	unique	values
0.14585	-0.08294	-0.1276	computed_or_insufficient	3078	-0.25389	3059	-0.53101	1368	-0.33832	1064	-0.33061	2718	-0.35756	2477	-0.31259	623	-0.27592	39	-0.3887	liquidity_inputs	liquidity_inputs.spread_bp	derived_machine_input	0.0	3078	3039	0.50384	3078	-0.50346	numeric	1747	"{""max"": 280.99, ""median"": 55.01, ""min"": 0.0, ""q10"": 12.164, ""q90"": 99.34}"
0.04639	-0.02784	-0.04024	computed_or_insufficient	3078	-0.01652	3059	-0.00324	1368	-0.05284	1064	0.00967	2718	-0.03789	2477	-0.01671	623	-0.04288	39	0.52449	liquidity_inputs	liquidity_inputs.top3_ask_to_bid_ratio	derived_machine_input	0.0	3078	3039	0.00266	3078	0.00117	numeric	3074	"{""max"": 509.333333, ""median"": 1.1369, ""min"": 0.002469, ""q10"": 0.212423, ""q90"": 6.022757}"
			derived_decision_output																	machine_core_output	machine_core_output.confidence	derived_decision_output	0.0	3078					numeric	1	"{""max"": 100.0, ""median"": 100.0, ""min"": 100.0, ""q10"": 100.0, ""q90"": 100.0}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:clean_continuation_probe_eligible	derived_decision_output	0.0	3078					categorical	2	"{""False"": 3055, ""True"": 23}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:early_session_structural_edge_floor	derived_decision_output	0.0	3078					categorical	2	"{""False"": 2887, ""True"": 191}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:liquidity_supportive	derived_decision_output	0.0	3078					categorical	2	"{""False"": 1959, ""True"": 1119}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:micro_positive_price_response	derived_decision_output	0.0	3078					categorical	2	"{""False"": 3055, ""True"": 23}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:micro_trusted_buy_flow	derived_decision_output	0.0	3078					categorical	2	"{""False"": 3055, ""True"": 23}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:orderly_pullback_recovery	derived_decision_output	0.0	3078					categorical	2	"{""False"": 3006, ""True"": 72}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:recovery_confirmation_probe_eligible	derived_decision_output	0.0	3078					categorical	2	"{""False"": 3077, ""True"": 1}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:structural_edge_floor	derived_decision_output	0.0	3078					categorical	2	"{""False"": 1788, ""True"": 1290}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:tape_supportive	derived_decision_output	0.0	3078					categorical	2	"{""False"": 2125, ""True"": 953}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:trigger_confirmed	derived_decision_output	0.0	3078					categorical	2	"{""False"": 2912, ""True"": 166}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:trusted_supportive_trigger	derived_decision_output	0.0	3078					categorical	2	"{""False"": 2912, ""True"": 166}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.contains:volume_confirmed	derived_decision_output	0.0	3078					categorical	2	"{""False"": 1837, ""True"": 1241}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids.length	derived_decision_output	0.0	3078					numeric	9	"{""max"": 8.0, ""median"": 1.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 3.0}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[0]	derived_decision_output	15.98	2586					categorical	5	"{""liquidity_supportive"": 577, ""micro_trusted_buy_flow"": 23, ""structural_edge_floor"": 1290, ""tape_supportive"": 466, ""volume_confirmed"": 230}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[1]	derived_decision_output	51.56	1491					categorical	9	"{""clean_continuation_probe_eligible"": 5, ""early_session_structural_edge_floor"": 191, ""liquidity_supportive"": 348, ""micro_positive_price_response"": 23, ""orderly_pullback_recovery"": 67, ""tape_supportive"": 261, ""trusted_supportive_trigger"": 114, ""volume_confirmed"": 481}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[2]	derived_decision_output	78.4	665					categorical	7	"{""clean_continuation_probe_eligible"": 18, ""liquidity_supportive"": 113, ""orderly_pullback_recovery"": 5, ""tape_supportive"": 55, ""trigger_confirmed"": 114, ""trusted_supportive_trigger"": 41, ""volume_confirmed"": 319}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[3]	derived_decision_output	90.94	279					categorical	5	"{""liquidity_supportive"": 29, ""tape_supportive"": 119, ""trigger_confirmed"": 41, ""trusted_supportive_trigger"": 11, ""volume_confirmed"": 79}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[4]	derived_decision_output	95.06	152					categorical	4	"{""liquidity_supportive"": 41, ""tape_supportive"": 41, ""trigger_confirmed"": 11, ""volume_confirmed"": 59}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[5]	derived_decision_output	97.63	73					categorical	3	"{""liquidity_supportive"": 8, ""tape_supportive"": 11, ""volume_confirmed"": 54}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[6]	derived_decision_output	99.38	19					categorical	2	"{""liquidity_supportive"": 3, ""volume_confirmed"": 16}"
			derived_decision_output																	machine_core_output	machine_core_output.opportunity_fact_ids[7]	derived_decision_output	99.9	3					categorical	1	"{""volume_confirmed"": 3}"
			derived_decision_output																	machine_core_output	machine_core_output.preferred_action	derived_decision_output	0.0	3078					categorical	3	"{""BLOCK"": 1923, ""ENTER_NOW"": 42, ""RECHECK"": 1113}"
			derived_decision_output																	machine_core_output	machine_core_output.recheck_reason	derived_decision_output	0.0	3078					categorical	5	"{""MICRO_PRICE_RESPONSE_RECHECK"": 777, ""NONE"": 1965, ""SETUP_DISCOVERY_RECHECK"": 137, ""TAIL_LIQUIDITY_RECHECK"": 7, ""TRIGGER_CONFIRMATION_RECHECK"": 192}"
			derived_decision_output																	machine_core_output	machine_core_output.recheck_value_vs_opportunity_decay	derived_decision_output	0.0	3078					categorical	3	"{""ENTER_NOW_DOMINANT"": 42, ""NOT_APPLICABLE_BLOCKED"": 1923, ""RECHECK_DOMINANT"": 1113}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments.length	derived_decision_output	0.0	3078					numeric	7	"{""max"": 6.0, ""median"": 3.0, ""min"": 0.0, ""q10"": 1.0, ""q90"": 4.0}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids.contains:micro_positive_price_response	derived_decision_output	0.94	3049					categorical	2	"{""False"": 2816, ""True"": 233}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids.contains:micro_trusted_buy_flow	derived_decision_output	0.94	3049					categorical	2	"{""False"": 2816, ""True"": 233}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids.contains:trigger_confirmed	derived_decision_output	0.94	3049					categorical	2	"{""False"": 3036, ""True"": 13}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids.length	derived_decision_output	0.94	3049					numeric	3	"{""max"": 3.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids[0]	derived_decision_output	92.43	233					categorical	1	"{""micro_trusted_buy_flow"": 233}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids[1]	derived_decision_output	92.43	233					categorical	1	"{""micro_positive_price_response"": 233}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].counterweight_fact_ids[2]	derived_decision_output	99.58	13					categorical	1	"{""trigger_confirmed"": 13}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].disposition	derived_decision_output	0.94	3049					categorical	3	"{""BLOCKING"": 5, ""COMPENSATED"": 233, ""RECHECKABLE"": 2811}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].fact_id	derived_decision_output	0.94	3049					categorical	12	"{""foreign_institutional_joint_sell"": 92, ""liquidity_adverse"": 22, ""no_supported_setup"": 205, ""program_flow_net_and_delta_sell"": 651, ""supportive_micro_tape_vs_program_net_sell"": 246, ""tape_adverse"": 1164, ""trigger_confirmation_missing"": 582, ""volume_confirmation_missing"": 32}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[0].risk_code	derived_decision_output	0.94	3049					categorical	4	"{""ADVERSE_TAPE"": 2153, ""CONFIRMATION_MISSING"": 852, ""LIQUIDITY_FRAGILE"": 39, ""STRUCTURE_INVALIDATED"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids.contains:micro_positive_price_response	derived_decision_output	11.7	2718					categorical	2	"{""False"": 2713, ""True"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids.contains:micro_trusted_buy_flow	derived_decision_output	11.7	2718					categorical	2	"{""False"": 2713, ""True"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids.contains:trigger_confirmed	derived_decision_output	11.7	2718					categorical	2	"{""False"": 2713, ""True"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids.length	derived_decision_output	11.7	2718					numeric	2	"{""max"": 3.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids[0]	derived_decision_output	99.84	5					categorical	1	"{""micro_trusted_buy_flow"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids[1]	derived_decision_output	99.84	5					categorical	1	"{""micro_positive_price_response"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].counterweight_fact_ids[2]	derived_decision_output	99.84	5					categorical	1	"{""trigger_confirmed"": 5}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].disposition	derived_decision_output	11.7	2718					categorical	3	"{""BLOCKING"": 224, ""COMPENSATED"": 5, ""RECHECKABLE"": 2489}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].fact_id	derived_decision_output	11.7	2718					categorical	12	"{""ask_wall_wide_spread"": 159, ""completed_bars_missing"": 47, ""hard_blocker:failed_structure"": 122, ""hard_blocker:large_sell_print_present"": 30, ""liquidity_adverse"": 221, ""no_supported_setup"": 331, ""trigger_confirmation_missing"": 1683, ""volume_confirmation_missing"": 79}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[1].risk_code	derived_decision_output	11.7	2718					categorical	7	"{""CONFIRMATION_MISSING"": 2123, ""DISTRIBUTION_RISK"": 13, ""LIQUIDITY_FRAGILE"": 369, ""LIQUIDITY_UNUSABLE"": 11, ""OVEREXTENSION_CHASE"": 3, ""SOURCE_QUALITY_GAP"": 47, ""STRUCTURE_INVALIDATED"": 152}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[2].counterweight_fact_ids.length	derived_decision_output	39.08	1875					numeric	1	"{""max"": 0.0, ""median"": 0.0, ""min"": 0.0, ""q10"": 0.0, ""q90"": 0.0}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[2].disposition	derived_decision_output	39.08	1875					categorical	2	"{""BLOCKING"": 1164, ""RECHECKABLE"": 711}"
			derived_decision_output																	machine_core_output	machine_core_output.risk_assessments[2].fact_id	derived_decision_output	39.08	1875					categorical	9	"{""adverse_distribution_no_edge"": 61, ""ask_wall_wide_spread"": 410, ""blocking_overextension"": 16, ""completed_bars_missing"": 85, ""hard_blocker:blocking_overextension"": 3, ""hard_blocker:failed_structure"": 401, ""hard_blocker:large_sell_print_present"": 488, ""liquidity_adverse"": 408}"
